pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
88,-2.312596626371618,-9.728920641247651,0.4473684210526315,1925072.1684033736,5599130.127079358,aw,8.861598771052632,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.9645746788078058,0.012707935832440852,0.21684033735655248,0
89,8.538121713694002,-5.205811906143651,0.4473684210526315,1925083.0191217137,5599134.650188093,aw,8.861598771052632,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.32670156873272854,0.4650188093073666,0.3019121713703498,0
90,7.666799260448328,6.420295094463258,0.47368421052631576,1925082.1477992604,5599146.276295094,aw,8.887914560526315,"(nan, nan, nan)",1.0,69.0,80.0,0.5,0.5,0.5,0
91,-3.7368922221872762,9.275539688867502,0.47368421052631576,1925070.7441077777,5599149.131539688,aw,8.887914560526315,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.4829314760943681,0.9131539688445628,0.07441077777184546,0
92,-9.97632566605519,-0.6876963027445153,0.47368421052631576,1925064.5046743338,5599139.168303697,aw,8.887914560526315,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
93,-2.4288161222727602,-9.700559377901252,0.47368421052631576,1925072.0521838777,5599130.155440622,aw,8.887914560526315,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.9822873394039023,0.015544062200933694,0.20521838776767254,0
94,8.475234750066903,-5.307579102684991,0.47368421052631576,1925082.9562347499,5599134.548420897,aw,8.887914560526315,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.3425199736467901,0.4548420896753669,0.29562347498722374,0
95,0.14650427070028788,9.998926767341912,0.5,1925074.6275042705,5599149.854926767,aw,8.91423035,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.49916561849113494,0.9854926766827703,0.4627504270523787,0
96,-9.464272148643664,3.229172137933787,0.5,1925065.0167278512,5599143.085172137,aw,8.91423035,"(0, np.int64(68), np.int64(77))",1.0,69.0,78.0,0.42799866068172543,0.3085172137245536,0.5016727851238102,0
97,-5.995746137341071,-8.003188630574668,0.5,1925068.4852538626,5599131.852811369,aw,8.91423035,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
98,5.758697247850985,-8.175414730005658,0.5,1925080.2396972477,5599131.68058527,aw,8.91423035,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.3583383785608527,0.168058526981622,0.023969724774360657,0
99,9.554816767433458,2.950504455304625,0.5,1925084.0358167673,5599142.806504455,aw,8.91423035,"(nan, nan, nan)",1.0,69.0,80.0,0.5,0.5,0.5,0
