x,y,i,j,node,start_datetime,end_datetime,flux_m3,screen_top,screen_botm
531955.0,1177285.0,236,354,93338,2007-05-01,2007-05-31,-471.9484,9999.0,9999.0
532955.0,1177285.0,236,355,93339,2007-05-01,2007-05-31,-668.59357,9999.0,9999.0
500955.0,1178285.0,237,323,93701,2007-05-01,2007-05-31,-8.739785000000001,9999.0,9999.0
501955.0,1178285.0,237,324,93702,2007-05-01,2007-05-31,-11.653047,9999.0,9999.0
502955.0,1178285.0,237,325,93703,2007-05-01,2007-05-31,-11.653047,9999.0,9999.0
503955.0,1178285.0,237,326,93704,2007-05-01,2007-05-31,-119.443726,9999.0,9999.0
504955.0,1178285.0,237,327,93705,2007-05-01,2007-05-31,-53.440144,9999.0,9999.0
505955.0,1178285.0,237,328,93706,2007-05-01,2007-05-31,-143.79675,9999.0,9999.0
506955.0,1178285.0,237,329,93707,2007-05-01,2007-05-31,-2.9132617,9999.0,9999.0
507955.0,1178285.0,237,330,93708,2007-05-01,2007-05-31,-39.829746,9999.0,9999.0
508955.0,1178285.0,237,331,93709,2007-05-01,2007-05-31,-110.749466,9999.0,9999.0
509955.0,1178285.0,237,332,93710,2007-05-01,2007-05-31,-48.068813,9999.0,9999.0
514955.0,1178285.0,237,337,93715,2007-05-01,2007-05-31,-39.329029999999996,9999.0,9999.0
516955.0,1178285.0,237,339,93717,2007-05-01,2007-05-31,-7.8293905,9999.0,9999.0
517955.0,1178285.0,237,340,93718,2007-05-01,2007-05-31,-46.15699,9999.0,9999.0
518955.0,1178285.0,237,341,93719,2007-05-01,2007-05-31,-97.86738000000001,9999.0,9999.0
519955.0,1178285.0,237,342,93720,2007-05-01,2007-05-31,-39.146954,9999.0,9999.0
522955.0,1178285.0,237,345,93723,2007-05-01,2007-05-31,-19.573477,9999.0,9999.0
523955.0,1178285.0,237,346,93724,2007-05-01,2007-05-31,-117.805016,9999.0,9999.0
526955.0,1178285.0,237,349,93727,2007-05-01,2007-05-31,-2.9132617,9999.0,9999.0
527955.0,1178285.0,237,350,93728,2007-05-01,2007-05-31,-19.573477,9999.0,9999.0
528955.0,1178285.0,237,351,93729,2007-05-01,2007-05-31,-5.872043,9999.0,9999.0
