pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
54,9.999987904659704,0.015553348822600259,0.2631578947368421,1925299.6509879048,5599053.237553349,pw,8.634967854736843,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.32375533487647773,0.9650987904751673,0
55,-0.3672218217836559,-9.99325513201809,0.2894736842105263,1925289.2837781783,5599043.228744868,pw,8.661283644210526,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.41850076851889545,0.3228744868189096,0.9283778178272769,0
56,9.390672628669313,-3.4373343714513727,0.2894736842105263,1925299.0416726288,5599049.784665628,pw,8.661283644210526,"(0, np.int64(78), np.int64(100))",1.0,79.0,101.0,0.999999,0.978466562833637,0.9041672628838568,0
57,6.170976683524612,7.868865659762885,0.2894736842105263,1925295.8219766836,5599061.0908656595,pw,8.661283644210526,"(0, np.int64(76), np.int64(100))",1.0,77.0,101.0,0.999999,0.10908656595274806,0.582197668356821,0
58,-5.576799294467998,8.300560802091702,0.2894736842105263,1925284.0742007056,5599061.522560802,pw,8.661283644210526,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
59,-9.617628195942268,-2.738836958385123,0.2894736842105263,1925280.033371804,5599050.483163042,pw,8.661283644210526,"(0, np.int64(77), np.int64(99))",1.0,78.0,100.0,0.8576211727618631,0.048316304199397565,0.003337180404923856,0
60,3.511697493289929,9.363118108601494,0.3157894736842105,1925293.1626974933,5599062.585118108,pw,8.68759943368421,"(0, np.int64(76), np.int64(100))",1.0,77.0,101.0,0.999999,0.2585118108429015,0.31626974933315066,0
61,-7.819680285496114,6.23318540014842,0.3157894736842105,1925281.8313197147,5599059.4551854,pw,8.68759943368421,"(0, np.int64(77), np.int64(99))",1.0,78.0,100.0,0.8754185261666307,0.9455185400322079,0.18313197146635501,0
62,-8.344525690884009,-5.510797673130156,0.3157894736842105,1925281.3064743092,5599047.711202327,pw,8.68759943368421,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.4349639316987033,0.7711202327162028,0.13064743091817946,0
63,2.6624797885330964,-9.63904566726669,0.3157894736842105,1925292.3134797886,5599043.582954333,pw,8.68759943368421,"(nan, nan, nan)",1.0,79.0,100.0,0.5,0.5,0.5,0
64,9.990028694557097,-0.446460168353069,0.3157894736842105,1925299.6410286946,5599052.775539831,pw,8.68759943368421,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.2775539831258357,0.9641028694575653,0
65,-3.039647098812472,-9.526832921526488,0.3421052631578947,1925286.6113529012,5599043.695167079,pw,8.713915223157894,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.45142709487850996,0.36951670786365864,0.6611352901207284,0
66,8.121253919237404,-5.834829455885675,0.3421052631578947,1925297.7722539194,5599047.387170544,pw,8.713915223157894,"(nan, nan, nan)",1.0,79.0,100.0,0.5,0.5,0.5,0
67,8.05885805216948,5.920709999230085,0.3421052631578947,1925297.7098580522,5599059.142709999,pw,8.713915223157894,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.9142709999345243,0.7709858052199706,0
68,-3.140605732485881,9.494029472941234,0.3421052631578947,1925286.5103942675,5599062.716029473,pw,8.713915223157894,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
69,-9.999859140108521,-0.053077094759143954,0.3421052631578947,1925279.65114086,5599053.168922905,pw,8.713915223157894,"(1, np.int64(77), np.int64(98))",2.0,78.0,99.0,0.776872422238086,0.3168922904878855,0.9651140860049054,0
70,-2.6828295379989573,9.63340156279392,0.3684210526315789,1925286.9681704622,5599062.8554015625,pw,8.740231012631579,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
71,-9.990949250635838,0.42536228231847595,0.3684210526315789,1925279.6600507495,5599053.6473622825,pw,8.740231012631579,"(1, np.int64(77), np.int64(98))",2.0,78.0,99.0,0.7912984484193429,0.3647362282499671,0.9660050749545916,0
72,-3.491916678769286,-9.370513214788872,0.3684210526315789,1925286.1590833212,5599043.851486785,pw,8.740231012631579,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.46789025805831774,0.3851486785337329,0.6159083321224899,0
73,7.8328260572737705,-6.2166579410880445,0.3684210526315789,1925297.4838260573,5599047.005342059,pw,8.740231012631579,"(nan, nan, nan)",1.0,79.0,100.0,0.5,0.5,0.5,0
74,8.332869410130307,5.5284073107645195,0.3684210526315789,1925297.9838694101,5599058.750407311,pw,8.740231012631579,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.8750407311134041,0.798386941011995,0
75,1.532032163528477,-9.881947047516205,0.39473684210526316,1925291.1830321637,5599043.340052953,pw,8.766546802105264,"(nan, nan, nan)",1.0,79.0,100.0,0.5,0.5,0.5,0
76,9.871714107683259,-1.5966404028983237,0.39473684210526316,1925299.5227141078,5599051.625359598,pw,8.766546802105264,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.16253595976158977,0.9522714107763022,0
77,4.569022682241617,8.895169010713715,0.39473684210526316,1925294.2200226823,5599062.11716901,pw,8.766546802105264,"(0, np.int64(76), np.int64(100))",1.0,77.0,101.0,0.999999,0.21171690104529262,0.42200226823333653,0
78,-7.047902794688729,7.094157187194179,0.39473684210526316,1925282.6030972053,5599060.316157187,pw,8.766546802105264,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
79,-8.924866158764624,-4.510738747493362,0.39473684210526316,1925280.7261338413,5599048.711261253,pw,8.766546802105264,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.4843534212381256,0.8711261252872646,0.0726133841322735,0
80,9.994848462775083,0.32094268360962463,0.42105263157894735,1925299.6458484628,5599053.542942683,pw,8.792862591578947,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.3542942683212459,0.9645848462823778,0
81,2.783343400595633,9.604842503360517,0.42105263157894735,1925292.4343434006,5599062.826842504,pw,8.792862591578947,"(0, np.int64(76), np.int64(100))",1.0,77.0,101.0,0.999999,0.28268425036221745,0.24343434006441383,0
82,-8.27464763884427,5.615176440056801,0.42105263157894735,1925281.3763523612,5599058.83717644,pw,8.792862591578947,"(0, np.int64(77), np.int64(99))",1.0,78.0,100.0,0.9466079397856986,0.8837176440283656,0.1376352361170575,0
83,-7.897356886330455,-6.134472610577778,0.42105263157894735,1925281.7536431137,5599047.08752739,pw,8.792862591578947,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.5008165844179323,0.7087527389638126,0.1753643113654107,0
84,3.393812661804003,-9.406489016449168,0.42105263157894735,1925293.0448126618,5599043.815510984,pw,8.792862591578947,"(nan, nan, nan)",1.0,79.0,100.0,0.5,0.5,0.5,0
85,7.589446045518008,6.511551944212,0.4473684210526315,1925297.2404460455,5599059.733551945,pw,8.819178381052632,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.9733551944606006,0.7240446045529098,0
86,-3.847586101780392,9.230172327177124,0.4473684210526315,1925285.8034138982,5599062.452172327,pw,8.819178381052632,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
87,-9.967385031060003,-0.8069917239978203,0.4473684210526315,1925279.683614969,5599052.415008276,pw,8.819178381052632,"(1, np.int64(77), np.int64(98))",2.0,78.0,99.0,0.8345765269631128,0.2415008275769651,0.968361496902071,0
88,-2.312596626371618,-9.728920641247651,0.4473684210526315,1925287.3384033737,5599043.493079359,pw,8.819178381052632,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.5172797475977401,0.34930793587118386,0.733840337372385,0
89,8.538121713694002,-5.205811906143651,0.4473684210526315,1925298.1891217139,5599048.016188093,pw,8.819178381052632,"(nan, nan, nan)",1.0,79.0,100.0,0.5,0.5,0.5,0
90,7.666799260448328,6.420295094463258,0.47368421052631576,1925297.3177992606,5599059.642295094,pw,8.845494170526315,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.964229509420693,0.731779926060699,0
91,-3.7368922221872762,9.275539688867502,0.47368421052631576,1925285.9141077779,5599062.497539689,pw,8.845494170526315,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
92,-9.97632566605519,-0.6876963027445153,0.47368421052631576,1925279.674674334,5599052.534303698,pw,8.845494170526315,"(1, np.int64(77), np.int64(98))",2.0,78.0,99.0,0.8490025531443688,0.2534303697757423,0.9674674334004522,0
93,-2.4288161222727602,-9.700559377901252,0.47368421052631576,1925287.2221838778,5599043.521440622,pw,8.845494170526315,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.5337429107775468,0.3521440622396767,0.722218387783505,0
94,8.475234750066903,-5.307579102684991,0.47368421052631576,1925298.12623475,5599047.914420897,pw,8.845494170526315,"(nan, nan, nan)",1.0,79.0,100.0,0.5,0.5,0.5,0
95,0.14650427070028788,9.998926767341912,0.5,1925289.7975042707,5599063.220926767,pw,8.87180996,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
96,-9.464272148643664,3.229172137933787,0.5,1925280.1867278514,5599056.451172138,pw,8.87180996,"(0, np.int64(77), np.int64(99))",1.0,78.0,100.0,0.999999,0.6451172137632966,0.018672785139642656,0
97,-5.995746137341071,-8.003188630574668,0.5,1925283.6552538627,5599045.2188113695,pw,8.87180996,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.5502060739573545,0.5218811369501054,0.36552538627292963,0
98,5.758697247850985,-8.175414730005658,0.5,1925295.409697248,5599045.04658527,pw,8.87180996,"(nan, nan, nan)",1.0,79.0,100.0,0.5,0.5,0.5,0
99,9.554816767433458,2.950504455304625,0.5,1925299.2058167674,5599056.172504456,pw,8.87180996,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.6172504455782473,0.9205816767411307,0
